,temp,pressure,humidity,rain_1h,play
1714,268.0,1031.0,85.0,0.0,1.0
1716,267.0,1031.0,79.0,0.0,1.0
1718,266.0,1032.0,79.0,0.0,1.0
1724,266.0,1034.0,79.0,0.0,1.0
1726,265.0,1036.0,79.0,0.0,1.0
1727,265.0,1035.0,79.0,0.0,1.0
1728,265.0,1035.0,85.0,0.0,1.0
1731,264.0,1037.0,85.0,0.0,1.0
1738,265.0,1038.0,85.0,0.0,0.0
1739,264.0,1038.0,78.0,0.0,0.0
1741,262.0,1039.0,92.0,0.0,0.0
1744,261.0,1041.0,84.0,0.0,0.0
1749,262.0,1042.0,85.0,0.0,1.0
1755,259.0,1044.0,92.0,0.0,0.0
1759,263.0,1045.0,78.0,0.0,0.0
1760,263.0,1044.0,72.0,0.0,0.0
1768,261.0,1045.0,92.0,0.0,0.0
1774,260.0,1044.0,92.0,0.0,0.0
1779,262.0,1042.0,85.0,0.0,0.0
1784,266.0,1039.0,85.0,0.0,0.0
1786,266.0,1038.0,92.0,0.0,0.0
1789,265.0,1036.0,85.0,0.0,0.0
1793,265.0,1033.0,92.0,0.0,0.0
1795,264.0,1032.0,92.0,0.0,0.0
1798,264.0,1029.0,92.0,0.0,1.0
1802,262.0,1026.0,92.0,0.0,0.0
1805,262.0,1025.0,92.0,0.0,0.0
1812,266.0,1018.0,79.0,0.0,0.0
1816,264.0,1016.0,78.0,0.0,0.0
1817,264.0,1015.0,78.0,0.0,0.0
1822,263.0,1015.0,85.0,0.0,0.0
1829,262.0,1015.0,85.0,0.0,0.0
1830,264.0,1015.0,85.0,0.0,0.0
1831,265.0,1015.0,78.0,0.0,0.0
1833,265.0,1015.0,73.0,0.0,0.0
1836,264.0,1015.0,79.0,0.0,0.0
1837,266.0,1015.0,79.0,0.0,0.0
1839,267.0,1015.0,79.0,0.0,0.0
1841,267.0,1015.0,79.0,0.0,0.0
1842,268.0,1016.0,79.0,0.0,0.0
1851,270.0,1016.0,86.0,0.0,1.0
1857,272.0,1017.0,68.0,0.0,1.0
1862,269.0,1019.0,86.0,0.0,1.0
1864,267.0,1020.0,92.0,0.0,0.0
1866,265.0,1020.0,100.0,0.0,1.0
1876,266.0,1022.0,92.0,0.0,0.0
1877,265.0,1023.0,92.0,0.0,0.0
1878,267.0,1023.0,92.0,0.0,0.0
1880,268.0,1023.0,100.0,0.0,0.0
1883,267.0,1022.0,100.0,0.0,0.0
1893,266.0,1022.0,92.0,0.0,0.0
1899,265.0,1020.0,92.0,0.0,1.0
1902,264.0,1020.0,92.0,0.0,0.0
1907,266.0,1018.0,92.0,0.0,0.0
1909,265.0,1018.0,92.0,0.0,0.0
1910,264.0,1018.0,92.0,0.0,0.0
1912,263.0,1018.0,92.0,0.0,0.0
1914,263.0,1018.0,85.0,0.0,0.0
1918,264.0,1017.0,85.0,0.0,0.0
1922,267.0,1017.0,92.0,0.0,0.0
1926,268.0,1017.0,85.0,0.0,0.0
1927,269.0,1017.0,85.0,0.0,0.0
1930,270.0,1016.0,86.0,0.0,0.0
1932,271.0,1016.0,80.0,0.0,0.0
1934,268.0,1016.0,85.0,0.0,0.0
1938,266.0,1016.0,85.0,0.0,0.0
1939,266.0,1016.0,92.0,0.0,0.0
1940,265.0,1016.0,92.0,0.0,0.0
1946,267.0,1015.0,85.0,0.0,0.0
1948,267.0,1015.0,85.0,0.0,0.0
1951,269.0,1015.0,85.0,0.0,0.0
1952,270.0,1015.0,79.0,0.0,0.0
1953,270.0,1015.0,86.0,0.0,0.0
1956,270.0,1016.0,79.0,0.0,0.0
1958,269.0,1016.0,85.0,0.0,0.0
1967,266.0,1017.0,92.0,0.0,0.0
1970,266.0,1018.0,92.0,0.0,0.0
1984,270.0,1012.0,86.0,0.0,0.0
1985,270.0,1012.0,86.0,0.0,0.0
1992,272.0,1007.0,92.0,0.0,0.0
1996,273.0,1005.0,100.0,0.0,0.0
1998,274.0,1006.0,93.0,0.0,1.0
2004,275.0,1005.0,80.0,0.0,0.0
2005,274.0,1005.0,86.0,0.0,1.0
